* Measurement data measured by REW V5.20
* Source: Trace Arithmetic result A / B
* Format: Trace Arithmetic result A / B
* Dated: Aug 26, 2024 9:42:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A over B A = Super 22 Target B = Uploaded IEF Comp Tar
* Measurement: A over B
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
8850.000000	99.914986	0
9000.000000	99.823341	0
9120.000000	99.747673	0
9250.000000	99.664116	0
9380.000000	99.579590	0
9500.000000	99.501122	0
9620.000000	99.422600	0
9750.000000	99.337677	0
9880.000000	99.253174	0
10000.000000	99.175652	0
10150.000000	99.079582	0
10300.000000	98.984512	0
10440.000000	98.896782	0
10600.000000	98.797737	0
10750.000000	98.706093	0
10900.000000	98.615608	0
11060.000000	98.520363	0
11200.000000	98.438118	0
11380.000000	98.333824	0
11500.000000	98.265198	0
11720.000000	98.141174	0
11800.000000	98.096642	0
12060.000000	97.953972	0
12200.000000	97.878410	0
12410.000000	97.766670	0
12500.000000	97.719353	0
12650.000000	97.641258	0
12800.000000	97.564064	0
13150.000000	97.387436	0
13200.000000	97.362595	0
13400.000000	97.264137	0
13600.000000	97.167114	0
13800.000000	97.071541	0
14000.000000	96.977364	0
14300.000000	96.838600	0
14500.000000	96.747711	0
14750.000000	96.635872	0
15000.000000	96.526009	0
15250.000000	96.418053	0
15500.000000	96.311989	0
15750.000000	96.207855	0
16000.000000	96.105667	0
16250.000000	96.005501	0
16500.000000	95.907486	0
16750.000000	95.811775	0
17000.000000	95.718643	0
17250.000000	95.628426	0
17500.000000	95.541565	0
17750.000000	95.458626	0
18000.000000	95.380241	0
18250.000000	95.307220	0
18500.000000	95.240456	0
18750.000000	95.180931	0
19000.000000	95.129646	0
19250.000000	95.087570	0
19500.000000	95.055618	0
19750.000000	95.034096	0
20000.000000	95.024300	0
